,Ano,Delegacia,Natureza,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
190,2011,04 DP  - Piracicaba,Nº DE PESSOAS PRESAS EM FLAGRANTE,7,15,14,11,11,11,2,5,15,7,13,10,121
191,2011,04 DP  - Piracicaba,Nº DE PESSOAS PRESAS POR MANDADO,1,5,1,6,3,2,2,2,3,1,2,3,31
192,2011,04 DP  - Piracicaba,Nº DE PRISÕES EFETUADAS,8,19,12,16,14,13,4,7,18,8,15,13,147
193,2011,04 DP  - Piracicaba,Nº DE VEÍCULOS RECUPERADOS,8,11,17,8,12,11,9,10,13,11,6,12,128
194,2011,04 DP  - Piracicaba,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,13,47,28,41,27,28,37,38,42,28,35,23,387
195,2011,05 DP  - Piracicaba,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,0,0,0,0,0,2,1,1,0,0,0,1,5
196,2011,05 DP  - Piracicaba,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,0,0,3,1,0,0,0,0,1,1,0,3,9
197,2011,05 DP  - Piracicaba,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),0,0,0,0,0,0,0,0,0,0,0,0,0
198,2011,05 DP  - Piracicaba,OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,0,0,0,1,1,0,1,1,0,3,1,1,9
199,2011,05 DP  - Piracicaba,Nº DE ARMAS DE FOGO APREENDIDAS,1,0,1,1,3,0,1,2,1,4,1,0,15
200,2011,05 DP  - Piracicaba,Nº DE FLAGRANTES LAVRADOS,6,2,4,22,4,4,4,5,4,8,1,8,72
201,2011,05 DP  - Piracicaba,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,0,0,1,0,0,0,0,0,0,0,0,0,1
202,2011,05 DP  - Piracicaba,Nº DE INFRATORES APREENDIDOS POR MANDADO,0,0,0,0,0,0,0,0,0,0,0,0,0
203,2011,05 DP  - Piracicaba,Nº DE PESSOAS PRESAS EM FLAGRANTE,6,2,5,8,4,5,4,8,12,9,1,9,73
204,2011,05 DP  - Piracicaba,Nº DE PESSOAS PRESAS POR MANDADO,5,2,5,5,2,4,1,3,1,4,5,3,40
205,2011,05 DP  - Piracicaba,Nº DE PRISÕES EFETUADAS,11,4,9,10,6,8,5,8,5,12,6,11,95
206,2011,05 DP  - Piracicaba,Nº DE VEÍCULOS RECUPERADOS,5,4,6,9,15,10,8,8,10,14,13,8,110
207,2011,05 DP  - Piracicaba,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,18,12,11,22,20,9,22,18,14,20,9,25,200
208,2011,06 DP  - Piracicaba,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,0,0,2,4,1,0,0,0,1,0,0,4,12
209,2011,06 DP  - Piracicaba,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,0,0,1,3,0,0,0,0,0,1,2,1,8
210,2011,06 DP  - Piracicaba,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),0,0,0,0,0,1,0,0,0,0,0,0,1
211,2011,06 DP  - Piracicaba,OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,1,0,1,1,0,1,0,0,0,1,0,0,5
212,2011,06 DP  - Piracicaba,Nº DE ARMAS DE FOGO APREENDIDAS,1,0,0,1,1,2,0,0,2,3,0,1,11
213,2011,06 DP  - Piracicaba,Nº DE FLAGRANTES LAVRADOS,8,5,11,4,3,7,8,3,6,4,6,5,70
214,2011,06 DP  - Piracicaba,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,0,0,0,0,0,0,0,0,0,0,0,0,0
215,2011,06 DP  - Piracicaba,Nº DE INFRATORES APREENDIDOS POR MANDADO,0,0,0,0,0,0,0,0,0,0,0,0,0
216,2011,06 DP  - Piracicaba,Nº DE PESSOAS PRESAS EM FLAGRANTE,8,10,17,4,3,8,9,3,8,9,6,5,90
217,2011,06 DP  - Piracicaba,Nº DE PESSOAS PRESAS POR MANDADO,0,1,0,0,2,0,0,0,1,0,2,0,6
218,2011,06 DP  - Piracicaba,Nº DE PRISÕES EFETUADAS,8,6,11,4,3,7,8,3,6,0,8,5,69
219,2011,06 DP  - Piracicaba,Nº DE VEÍCULOS RECUPERADOS,10,16,28,15,15,10,10,17,13,13,11,13,171
220,2011,06 DP  - Piracicaba,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,26,16,21,21,21,22,12,10,16,11,16,14,206
221,2011,07 DP  - Piracicaba,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,0,1,0,0,0,0,0,1,3,1,3,2,11
222,2011,07 DP  - Piracicaba,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,0,1,1,4,0,0,0,0,0,1,2,0,9
223,2011,07 DP  - Piracicaba,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),0,0,0,0,0,0,0,0,2,2,4,0,8
224,2011,07 DP  - Piracicaba,OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,1,0,1,1,0,1,0,1,2,1,0,2,10
225,2011,07 DP  - Piracicaba,Nº DE ARMAS DE FOGO APREENDIDAS,1,0,2,3,1,1,5,2,2,4,0,7,28
226,2011,07 DP  - Piracicaba,Nº DE FLAGRANTES LAVRADOS,9,5,7,11,5,4,7,4,7,11,7,6,83
227,2011,07 DP  - Piracicaba,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,0,0,0,0,0,0,2,0,0,0,0,0,2
228,2011,07 DP  - Piracicaba,Nº DE INFRATORES APREENDIDOS POR MANDADO,0,0,0,0,0,0,0,0,0,0,0,0,0
229,2011,07 DP  - Piracicaba,Nº DE PESSOAS PRESAS EM FLAGRANTE,12,6,8,12,6,9,9,4,9,14,7,6,102
230,2011,07 DP  - Piracicaba,Nº DE PESSOAS PRESAS POR MANDADO,0,0,0,0,0,0,1,1,0,0,1,0,3
231,2011,07 DP  - Piracicaba,Nº DE PRISÕES EFETUADAS,9,5,7,11,5,4,7,4,7,11,7,6,83
232,2011,07 DP  - Piracicaba,Nº DE VEÍCULOS RECUPERADOS,10,9,8,5,5,2,5,5,5,13,3,12,82
233,2011,07 DP  - Piracicaba,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,13,15,18,19,11,12,18,26,8,12,8,11,171
234,2011,DDM - Piracicaba,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,0,0,0,0,0,0,0,0,0,0,0,0,0
235,2011,DDM - Piracicaba,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,0,0,0,0,0,0,0,0,0,0,0,0,0
236,2011,DDM - Piracicaba,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),0,0,0,0,0,0,0,0,0,0,0,0,0
237,2011,DDM - Piracicaba,OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,0,1,1,0,0,0,0,0,0,0,0,0,2
238,2011,DDM - Piracicaba,Nº DE ARMAS DE FOGO APREENDIDAS,0,1,2,0,1,0,0,0,0,0,0,0,4
239,2011,DDM - Piracicaba,Nº DE FLAGRANTES LAVRADOS,7,9,12,13,4,12,10,11,5,12,6,9,110
240,2011,DDM - Piracicaba,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,0,0,0,0,0,0,0,0,0,0,0,0,0
241,2011,DDM - Piracicaba,Nº DE INFRATORES APREENDIDOS POR MANDADO,0,0,0,0,0,0,0,0,0,0,0,0,0
242,2011,DDM - Piracicaba,Nº DE PESSOAS PRESAS EM FLAGRANTE,7,9,12,13,4,12,10,11,5,12,6,9,110
243,2011,DDM - Piracicaba,Nº DE PESSOAS PRESAS POR MANDADO,0,0,0,2,1,2,1,1,1,2,1,0,11
244,2011,DDM - Piracicaba,Nº DE PRISÕES EFETUADAS,7,9,12,15,5,14,11,12,6,14,7,9,121
245,2011,DDM - Piracicaba,Nº DE VEÍCULOS RECUPERADOS,0,0,0,0,0,0,0,0,0,0,0,0,0
246,2011,DDM - Piracicaba,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,40,64,78,96,63,56,60,72,40,79,68,37,753
247,2011,DIG - Piracicaba,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,0,1,0,1,0,0,0,1,0,0,0,0,3
248,2011,DIG - Piracicaba,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,0,0,0,1,0,2,0,2,3,0,0,0,8
249,2011,DIG - Piracicaba,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),0,0,0,0,0,1,0,0,0,0,0,0,1
250,2011,DIG - Piracicaba,OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,0,0,0,1,2,2,0,1,0,0,0,1,7
251,2011,DIG - Piracicaba,Nº DE ARMAS DE FOGO APREENDIDAS,0,0,0,2,2,3,0,0,1,0,0,1,9
252,2011,DIG - Piracicaba,Nº DE FLAGRANTES LAVRADOS,0,2,0,2,2,3,1,3,5,0,0,1,19
253,2011,DIG - Piracicaba,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,0,0,0,0,0,0,0,0,0,0,0,0,0
254,2011,DIG - Piracicaba,Nº DE INFRATORES APREENDIDOS POR MANDADO,0,0,0,3,0,0,0,0,0,0,0,1,4
255,2011,DIG - Piracicaba,Nº DE PESSOAS PRESAS EM FLAGRANTE,0,2,0,2,11,3,1,5,9,0,0,1,34
256,2011,DIG - Piracicaba,Nº DE PESSOAS PRESAS POR MANDADO,23,1,13,30,13,16,16,9,19,12,11,12,175
257,2011,DIG - Piracicaba,Nº DE PRISÕES EFETUADAS,23,3,13,32,13,19,17,12,24,12,11,13,192
258,2011,DIG - Piracicaba,Nº DE VEÍCULOS RECUPERADOS,0,0,1,1,2,3,1,1,3,1,0,2,15
259,2011,DIG - Piracicaba,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,12,20,5,14,16,20,9,12,15,15,7,6,151
260,2011,DISE - Piracicaba,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,14,12,15,8,21,22,19,21,10,5,8,15,170
261,2011,DISE - Piracicaba,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,48,68,59,65,49,57,45,44,32,26,47,40,580
262,2011,DISE - Piracicaba,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),0,0,0,0,0,0,0,0,0,0,0,0,0
263,2011,DISE - Piracicaba,OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,0,0,1,0,0,0,0,0,0,1,0,0,2
264,2011,DISE - Piracicaba,Nº DE ARMAS DE FOGO APREENDIDAS,1,1,1,4,0,0,0,0,0,3,1,1,12
265,2011,DISE - Piracicaba,Nº DE FLAGRANTES LAVRADOS,27,36,36,43,26,29,20,27,17,15,27,25,328
266,2011,DISE - Piracicaba,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,8,16,15,6,2,14,14,17,6,0,2,0,100
267,2011,DISE - Piracicaba,Nº DE INFRATORES APREENDIDOS POR MANDADO,0,0,0,0,0,0,0,0,0,0,0,0,0
268,2011,DISE - Piracicaba,Nº DE PESSOAS PRESAS EM FLAGRANTE,33,46,47,55,30,31,22,54,25,22,32,34,431
269,2011,DISE - Piracicaba,Nº DE PESSOAS PRESAS POR MANDADO,0,0,2,1,2,1,0,1,3,0,0,0,10
270,2011,DISE - Piracicaba,Nº DE PRISÕES EFETUADAS,27,36,38,44,28,30,20,28,20,15,27,25,338
271,2011,DISE - Piracicaba,Nº DE VEÍCULOS RECUPERADOS,0,0,0,0,0,0,0,0,0,0,0,0,0
272,2011,DISE - Piracicaba,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,37,41,36,45,27,34,27,37,24,21,31,28,388
273,2011,OUTRAS ESPECIALIZADAS,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,0,0,0,0,0,0,0,0,0,0,0,0,0
274,2011,OUTRAS ESPECIALIZADAS,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,0,0,0,0,0,0,0,0,0,0,0,0,0
275,2011,OUTRAS ESPECIALIZADAS,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),0,0,0,0,0,0,0,0,0,0,0,0,0
276,2011,OUTRAS ESPECIALIZADAS,OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,0,0,0,0,0,0,0,0,0,0,0,0,0
277,2011,OUTRAS ESPECIALIZADAS,Nº DE ARMAS DE FOGO APREENDIDAS,0,0,0,0,0,0,0,0,0,0,0,0,0
278,2011,OUTRAS ESPECIALIZADAS,Nº DE FLAGRANTES LAVRADOS,0,0,0,0,0,0,0,0,0,0,0,0,0
279,2011,OUTRAS ESPECIALIZADAS,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,0,0,0,0,0,0,0,0,0,0,0,0,0
280,2011,OUTRAS ESPECIALIZADAS,Nº DE INFRATORES APREENDIDOS POR MANDADO,0,0,0,0,0,0,0,0,0,0,0,0,0
